Tecnica utilizada,tamanho mensagem(m),Peb,P(sem erros),E[bits errados],P(nd | erros),P(cc | erros)
Bit de Paridade,4,1.0E-6,0.999995,5.0E-6,0.0,0.0
Bit de Paridade,4,9.999999999999999E-6,0.9999508,4.92E-5,0.0,0.0
Bit de Paridade,4,1.0E-4,0.999504,4.96E-4,0.0,0.0
Bit de Paridade,4,0.001,0.9950043,0.0050041,0.0016814460435974937,0.0
Bit de Paridade,4,0.01,0.9510341,0.0499513,0.019679001100766043,0.0
Bit de Paridade,4,0.1,0.5907486,0.499719,0.1792521662723695,0.0
Bit de Paridade,4,0.125,0.5128708,0.625211,0.21727090061527823,0.0
Bit de Paridade,4,0.25,0.2374557,1.2496772,0.3647049751732457,0.0
Bit de Paridade,4,0.5,0.0312794,2.5002012,0.4838266059377699,0.0
Bit de Paridade,11,1.0E-6,0.9999883,1.17E-5,0.0,0.0
Bit de Paridade,11,9.999999999999999E-6,0.999884,1.16E-4,0.0,0.0
Bit de Paridade,11,1.0E-4,0.9988036,0.0011973,7.522567703109327E-4,0.0
Bit de Paridade,11,0.001,0.9880935,0.0119729,0.005543190694158653,0.0
Bit de Paridade,11,0.01,0.8862953,0.1200923,0.052437586133202936,0.0
Bit de Paridade,11,0.1,0.2824084,1.1999908,0.35095310480223013,0.0
Bit de Paridade,11,0.125,0.2014871,1.4998855,0.39382281738967523,0.0
Bit de Paridade,11,0.25,0.0316268,2.9988492,0.4834780640356425,0.0
Bit de Paridade,11,0.5,2.459E-4,6.0003333,0.4999407354268415,0.0
CRC G23(x),4,1.0E-6,0.9999915,8.5E-6,0.0,0.0
CRC G23(x),4,9.999999999999999E-6,0.9999138,8.62E-5,0.0,0.0
CRC G23(x),4,1.0E-4,0.9991954,8.047E-4,0.0,0.0
CRC G23(x),4,0.001,0.9919922,0.0080348,1.2487824371238044E-4,0.0
CRC G23(x),4,0.01,0.9227114,0.0800172,0.0012097515028089525,0.0
CRC G23(x),4,0.1,0.4305082,0.8001229,0.010573462163985504,0.0
CRC G23(x),4,0.125,0.3436709,0.9997263,0.013164432294713126,0.0
CRC G23(x),4,0.25,0.1001494,2.0005458,0.027966420203531565,0.0
CRC G23(x),4,0.5,0.0038934,4.0008298,0.05885032786651549,0.0
CRC G23(x),11,1.0E-6,0.9999861,1.39E-5,0.0,0.0
CRC G23(x),11,9.999999999999999E-6,0.9998534,1.466E-4,0.0,0.0
CRC G23(x),11,1.0E-4,0.9984989,0.0015026,6.661781360335754E-5,0.0
CRC G23(x),11,0.001,0.9851378,0.0149639,5.719207116039348E-4,0.0
CRC G23(x),11,0.01,0.8601128,0.149926,0.005684580147433074,0.0
CRC G23(x),11,0.1,0.2059472,1.500019,0.036128076117860175,0.0
CRC G23(x),11,0.125,0.1350713,1.87539,0.04105355736258954,0.0
CRC G23(x),11,0.25,0.013356,3.7496235,0.05652281876745817,0.0
CRC G23(x),11,0.5,2.75E-5,7.5003266,0.06247911817574983,0.0
Código de Hamming,4,1.0E-6,0.999994,6.0E-6,0.1,0.5333333333333333
Código de Hamming,4,9.999999999999999E-6,0.9999318,6.82E-5,0.1436950146627566,0.41348973607038125
Código de Hamming,4,1.0E-4,0.9992902,7.099E-4,0.1431389123696816,0.43660185967878273
Código de Hamming,4,0.001,0.9930339,0.0069875,0.14190149437992564,0.4295373307876717
Código de Hamming,4,0.01,0.9319826,0.0700808,0.1427487672272095,0.41512318906632717
Código de Hamming,4,0.1,0.4781523,0.700358,0.15118568118629247,0.30560008216956785
Código de Hamming,4,0.125,0.3928924,0.8747825,0.1560379082719439,0.2772047327360092
Código de Hamming,4,0.25,0.1334199,1.7503045,0.18861395501696843,0.15411847098727516
Código de Hamming,4,0.5,0.0077956,3.4995332,0.2441534224198159,0.023676169950465852
Código de Hamming,11,1.0E-6,0.9999848,1.52E-5,0.3026315789473684,0.21052631578947367
